district,year,democrat,republican,winning_party,winning_margin
AK-00,2016,37.6,52.8,R,15.2
AL-01,2016,34.1,63.5,R,29.4
AL-02,2016,33.0,64.9,R,31.9
AL-03,2016,32.3,65.3,R,33.0
AL-04,2016,17.4,80.4,R,63.0
AL-05,2016,31.3,64.7,R,33.4
AL-06,2016,26.1,70.8,R,44.7
AL-07,2016,69.8,28.6,D,41.2
AR-01,2016,30.2,65.0,R,34.8
AR-02,2016,41.7,52.4,R,10.7
AR-03,2016,30.5,61.9,R,31.4
AR-04,2016,31.3,64.2,R,32.9
AZ-01,2016,46.6,47.7,R,1.1
AZ-02,2016,49.6,44.7,D,4.9
AZ-03,2016,62.4,32.5,D,29.9
AZ-04,2016,27.5,67.7,R,40.2
AZ-05,2016,36.5,57.6,R,21.1
AZ-06,2016,42.4,52.4,R,10.0
AZ-07,2016,71.8,22.6,D,49.2
AZ-08,2016,37.0,58.1,R,21.1
AZ-09,2016,54.7,38.4,D,16.3
CA-01,2016,36.5,56.2,R,19.7
CA-02,2016,69.0,23.3,D,45.7
CA-03,2016,53.0,40.4,D,12.6
CA-04,2016,39.3,54.0,R,14.7
CA-05,2016,69.2,24.3,D,44.9
CA-06,2016,69.2,24.4,D,44.8
CA-07,2016,52.3,40.9,D,11.4
CA-08,2016,39.6,54.7,R,15.1
CA-09,2016,56.6,38.0,D,18.6
CA-10,2016,48.5,45.5,D,3.0
CA-11,2016,71.5,22.7,D,48.8
CA-12,2016,86.2,8.7,D,77.5
CA-13,2016,87.4,6.8,D,80.6
CA-14,2016,76.9,18.2,D,58.7
CA-15,2016,69.9,24.2,D,45.7
CA-16,2016,58.0,36.4,D,21.6
CA-17,2016,73.9,20.5,D,53.4
CA-18,2016,73.4,20.2,D,53.2
CA-19,2016,72.9,21.5,D,51.4
CA-20,2016,70.4,23.2,D,47.2
CA-21,2016,55.2,39.7,D,15.5
CA-22,2016,42.6,52.1,R,9.5
CA-23,2016,36.1,58.1,R,22.0
CA-24,2016,56.7,36.5,D,20.2
CA-25,2016,50.3,43.6,D,6.7
CA-26,2016,57.9,36.0,D,21.9
CA-27,2016,66.0,28.4,D,37.6
CA-28,2016,72.1,22.3,D,49.8
CA-29,2016,77.7,16.8,D,60.9
CA-30,2016,69.1,25.7,D,43.4
CA-31,2016,57.7,36.6,D,21.1
CA-32,2016,66.6,27.7,D,38.9
CA-33,2016,67.8,26.5,D,41.3
CA-34,2016,83.6,10.7,D,72.9
CA-35,2016,67.7,26.9,D,40.8
CA-36,2016,52.2,43.4,D,8.8
CA-37,2016,85.7,9.6,D,76.1
CA-38,2016,67.0,27.4,D,39.6
CA-39,2016,51.5,42.9,D,8.6
CA-40,2016,82.2,12.8,D,69.4
CA-41,2016,61.0,33.1,D,27.9
CA-42,2016,41.4,53.4,R,12.0
CA-43,2016,78.4,16.7,D,61.7
CA-44,2016,83.0,12.3,D,70.7
CA-45,2016,49.8,44.4,D,5.4
CA-46,2016,66.3,27.9,D,38.4
CA-47,2016,62.6,31.0,D,31.6
CA-48,2016,47.9,46.2,D,1.7
CA-49,2016,50.7,43.2,D,7.5
CA-50,2016,39.6,54.6,R,15.0
CA-51,2016,71.8,22.8,D,49.0
CA-52,2016,58.1,35.6,D,22.5
CA-53,2016,64.5,29.6,D,34.9
CO-01,2016,69.0,23.2,D,45.8
CO-02,2016,56.2,34.9,D,21.3
CO-03,2016,40.0,52.0,R,12.0
CO-04,2016,34.3,57.4,R,23.1
CO-05,2016,33.2,57.2,R,24.0
CO-06,2016,50.2,41.3,D,8.9
CO-07,2016,51.4,39.4,D,12.0
CT-01,2016,59.4,36.3,D,23.1
CT-02,2016,48.7,45.8,D,2.9
CT-03,2016,55.9,40.4,D,15.5
CT-04,2016,59.6,36.6,D,23.0
CT-05,2016,49.9,45.8,D,4.1
DE-00,2016,53.4,41.9,D,11.5
FL-01,2016,28.2,67.5,R,39.3
FL-02,2016,30.6,66.2,R,35.6
FL-03,2016,40.2,56.2,R,16.0
FL-04,2016,34.1,62.1,R,28.0
FL-05,2016,61.3,35.9,D,25.4
FL-06,2016,39.9,56.9,R,17.0
FL-07,2016,51.4,44.1,D,7.3
FL-08,2016,37.7,58.4,R,20.7
FL-09,2016,54.8,41.9,D,12.9
FL-10,2016,61.8,34.9,D,26.9
FL-11,2016,32.5,64.8,R,32.3
FL-12,2016,38.8,57.4,R,18.6
FL-13,2016,49.6,46.4,D,3.2
FL-14,2016,57.2,39.0,D,18.2
FL-15,2016,43.1,53.1,R,10.0
FL-16,2016,43.0,53.7,R,10.7
FL-17,2016,35.0,62.2,R,27.2
FL-18,2016,44.1,53.3,R,9.2
FL-19,2016,37.5,59.6,R,22.1
FL-20,2016,80.2,18.1,D,62.1
FL-21,2016,58.6,39.1,D,19.5
FL-22,2016,56.8,41.0,D,15.8
FL-23,2016,61.9,35.8,D,26.1
FL-24,2016,82.9,15.4,D,67.5
FL-25,2016,47.9,49.7,R,1.8
FL-26,2016,56.8,40.5,D,16.3
FL-27,2016,58.5,38.9,D,19.6
GA-01,2016,40.9,56.4,R,15.5
GA-02,2016,55.0,43.3,D,11.7
GA-03,2016,32.8,64.3,R,31.5
GA-04,2016,75.3,22.2,D,53.1
GA-05,2016,85.0,11.9,D,73.1
GA-06,2016,46.8,48.3,R,1.5
GA-07,2016,44.8,51.1,R,6.3
GA-08,2016,34.4,63.3,R,28.9
GA-09,2016,19.3,77.8,R,58.5
GA-10,2016,35.8,61.3,R,25.5
GA-11,2016,35.3,60.3,R,25.0
GA-12,2016,40.7,56.9,R,16.2
GA-13,2016,71.0,26.6,D,44.4
GA-14,2016,22.1,75.0,R,52.9
HI-01,2016,63.1,30.5,D,32.6
HI-02,2016,61.4,29.6,D,31.8
IA-01,2016,45.2,48.7,R,3.5
IA-02,2016,45.0,49.1,R,4.1
IA-03,2016,45.0,48.5,R,3.5
IA-04,2016,33.5,60.9,R,27.4
ID-01,2016,25.4,63.7,R,38.3
ID-02,2016,29.8,54.5,R,24.7
IL-01,2016,75.4,21.4,D,54.0
IL-02,2016,78.0,19.1,D,58.9
IL-03,2016,55.2,39.9,D,15.3
IL-04,2016,82.1,13.2,D,68.9
IL-05,2016,70.5,23.9,D,46.6
IL-06,2016,50.2,43.2,D,7.0
IL-07,2016,87.4,9.2,D,78.2
IL-08,2016,58.1,36.4,D,21.7
IL-09,2016,70.1,24.9,D,45.2
IL-10,2016,62.0,32.6,D,29.4
IL-11,2016,58.9,35.4,D,23.5
IL-12,2016,40.2,55.0,R,14.8
IL-13,2016,44.2,49.7,R,5.5
IL-14,2016,44.8,48.7,R,3.9
IL-15,2016,24.5,70.7,R,46.2
IL-16,2016,38.3,55.5,R,17.2
IL-17,2016,46.7,47.4,R,0.7
IL-18,2016,33.3,60.6,R,27.3
IN-01,2016,54.1,41.5,D,12.6
IN-02,2016,36.1,59.3,R,23.2
IN-03,2016,30.1,65.1,R,35.0
IN-04,2016,30.2,64.3,R,34.1
IN-05,2016,41.3,53.1,R,11.8
IN-06,2016,27.4,67.7,R,40.3
IN-07,2016,59.0,36.2,D,22.8
IN-08,2016,30.9,64.6,R,33.7
IN-09,2016,34.2,61.1,R,26.9
KS-01,2016,24.3,69.3,R,45.0
KS-02,2016,37.4,55.8,R,18.4
KS-03,2016,47.2,46.0,D,1.2
KS-04,2016,33.0,60.2,R,27.2
KY-01,2016,23.9,72.4,R,48.5
KY-02,2016,27.6,67.5,R,39.9
KY-03,2016,54.9,39.9,D,15.0
KY-04,2016,29.3,65.2,R,35.9
KY-05,2016,17.5,79.6,R,62.1
KY-06,2016,39.4,54.7,R,15.3
LA-01,2016,26.7,68.7,R,42.0
LA-02,2016,74.6,22.2,D,52.4
LA-03,2016,29.2,67.3,R,38.1
LA-04,2016,36.6,60.6,R,24.0
LA-05,2016,34.1,63.5,R,29.4
LA-06,2016,31.0,64.8,R,33.8
MA-01,2016,57.2,36.5,D,20.7
MA-02,2016,56.2,36.8,D,19.4
MA-03,2016,58.2,35.4,D,22.8
MA-04,2016,59.2,35.0,D,24.2
MA-05,2016,69.3,25.7,D,43.6
MA-06,2016,56.1,38.2,D,17.9
MA-07,2016,84.1,11.9,D,72.2
MA-08,2016,60.4,34.4,D,26.0
MA-09,2016,52.5,41.8,D,10.7
MD-01,2016,33.4,62.0,R,28.6
MD-02,2016,60.1,35.7,D,24.4
MD-03,2016,62.8,32.3,D,30.5
MD-04,2016,77.2,19.7,D,57.5
MD-05,2016,64.1,32.1,D,32.0
MD-06,2016,55.3,40.2,D,15.1
MD-07,2016,75.8,20.2,D,55.6
MD-08,2016,65.0,30.6,D,34.4
ME-01,2016,54.1,39.3,D,14.8
ME-02,2016,41.1,51.4,R,10.3
MI-01,2016,36.6,57.9,R,21.3
MI-02,2016,38.2,55.8,R,17.6
MI-03,2016,42.2,51.6,R,9.4
MI-04,2016,34.7,59.5,R,24.8
MI-05,2016,49.7,45.5,D,4.2
MI-06,2016,42.9,51.3,R,8.4
MI-07,2016,38.7,55.7,R,17.0
MI-08,2016,43.9,50.6,R,6.7
MI-09,2016,51.5,43.7,D,7.8
MI-10,2016,31.6,63.8,R,32.2
MI-11,2016,45.3,49.7,R,4.4
MI-12,2016,60.8,34.5,D,26.3
MI-13,2016,78.8,18.1,D,60.7
MI-14,2016,79.2,18.3,D,60.9
MN-01,2016,38.4,53.3,R,14.9
MN-02,2016,45.3,46.5,R,1.2
MN-03,2016,50.8,41.4,D,9.4
MN-04,2016,61.5,30.6,D,30.9
MN-05,2016,73.7,18.5,D,55.2
MN-06,2016,33.2,58.9,R,25.7
MN-07,2016,31.0,61.8,R,30.8
MN-08,2016,38.6,54.2,R,15.6
MO-01,2016,77.0,18.8,D,58.2
MO-02,2016,42.3,52.6,R,10.3
MO-03,2016,28.1,67.1,R,39.0
MO-04,2016,29.3,65.3,R,36.0
MO-05,2016,54.1,40.6,D,13.5
MO-06,2016,31.7,63.1,R,31.4
MO-07,2016,24.7,70.4,R,45.7
MO-08,2016,21.0,75.4,R,54.4
MS-01,2016,32.4,65.4,R,33.0
MS-02,2016,63.6,35.1,D,28.5
MS-03,2016,36.8,61.3,R,24.5
MS-04,2016,28.2,69.4,R,41.2
MT-00,2016,35.9,56.5,R,20.6
NC-01,2016,67.5,30.5,D,37.0
NC-02,2016,43.6,53.2,R,9.6
NC-03,2016,36.9,60.5,R,23.6
NC-04,2016,68.2,28.2,D,40.0
NC-05,2016,39.8,57.4,R,17.6
NC-06,2016,41.4,56.1,R,14.7
NC-07,2016,39.9,57.6,R,17.7
NC-08,2016,41.1,56.1,R,15.0
NC-09,2016,42.8,54.4,R,11.6
NC-10,2016,36.4,61.0,R,24.6
NC-11,2016,34.0,63.2,R,29.2
NC-12,2016,68.4,28.4,D,40.0
NC-13,2016,44.0,53.4,R,9.4
ND-00,2016,27.7,64.1,R,36.4
NE-01,2016,36.2,57.5,R,21.3
NE-02,2016,46.0,48.2,R,2.2
NE-03,2016,20.0,74.9,R,54.9
NH-01,2016,46.6,48.2,R,1.6
NH-02,2016,48.6,46.2,D,2.4
NJ-01,2016,60.6,36.1,D,24.5
NJ-02,2016,46.0,50.6,R,4.6
NJ-03,2016,45.2,51.4,R,6.2
NJ-04,2016,41.0,55.8,R,14.8
NJ-05,2016,47.7,48.8,R,1.1
NJ-06,2016,56.2,40.6,D,15.6
NJ-07,2016,48.6,47.5,D,1.1
NJ-08,2016,75.7,21.5,D,54.2
NJ-09,2016,64.3,33.1,D,31.2
NJ-10,2016,85.2,12.8,D,72.4
NJ-11,2016,47.9,48.8,R,0.9
NJ-12,2016,65.0,31.8,D,33.2
NM-01,2016,51.6,35.1,D,16.5
NM-02,2016,39.9,50.1,R,10.2
NM-03,2016,51.8,36.7,D,15.1
NV-01,2016,61.6,32.6,D,29.0
NV-02,2016,39.7,52.0,R,12.3
NV-03,2016,46.5,47.5,R,1.0
NV-04,2016,49.5,44.6,D,4.9
NY-01,2016,42.2,54.5,R,12.3
NY-02,2016,43.9,53.0,R,9.1
NY-03,2016,51.6,45.5,D,6.1
NY-04,2016,53.4,43.8,D,9.6
NY-05,2016,85.7,12.7,D,73.0
NY-06,2016,65.1,32.1,D,33.0
NY-07,2016,86.9,10.4,D,76.5
NY-08,2016,84.6,13.5,D,71.1
NY-09,2016,83.5,14.4,D,69.1
NY-10,2016,78.3,18.8,D,59.5
NY-11,2016,43.8,53.6,R,9.8
NY-12,2016,83.3,13.5,D,69.8
NY-13,2016,92.3,5.4,D,86.9
NY-14,2016,77.7,19.8,D,57.9
NY-15,2016,93.8,4.9,D,88.9
NY-16,2016,75.1,22.5,D,52.6
NY-17,2016,58.6,38.4,D,20.2
NY-18,2016,47.1,49.0,R,1.9
NY-19,2016,44.0,50.8,R,6.8
NY-20,2016,54.0,40.5,D,13.5
NY-21,2016,40.0,53.9,R,13.9
NY-22,2016,39.3,54.8,R,15.5
NY-23,2016,39.7,54.5,R,14.8
NY-24,2016,48.9,45.3,D,3.6
NY-25,2016,55.5,39.1,D,16.4
NY-26,2016,57.6,38.0,D,19.6
NY-27,2016,35.2,59.7,R,24.5
OH-01,2016,44.6,51.2,R,6.6
OH-02,2016,39.7,55.8,R,16.1
OH-03,2016,67.0,28.6,D,38.4
OH-04,2016,30.7,64.3,R,33.6
OH-05,2016,34.6,59.7,R,25.1
OH-06,2016,26.7,69.3,R,42.6
OH-07,2016,32.8,62.5,R,29.7
OH-08,2016,30.6,65.1,R,34.5
OH-09,2016,58.7,36.5,D,22.2
OH-10,2016,44.0,51.3,R,7.3
OH-11,2016,80.5,17.0,D,63.5
OH-12,2016,41.9,53.2,R,11.3
OH-13,2016,51.1,44.6,D,6.5
OH-14,2016,42.1,53.6,R,11.5
OH-15,2016,39.9,55.3,R,15.4
OH-16,2016,39.5,56.1,R,16.6
OK-01,2016,32.7,61.4,R,28.7
OK-02,2016,22.8,72.9,R,50.1
OK-03,2016,20.9,73.6,R,52.7
OK-04,2016,28.3,65.7,R,37.4
OK-05,2016,39.8,53.2,R,13.4
OR-01,2016,57.3,34.5,D,22.8
OR-02,2016,36.4,56.5,R,20.1
OR-03,2016,70.7,22.5,D,48.2
OR-04,2016,46.1,46.0,D,0.1
OR-05,2016,48.3,44.1,D,4.2
PA-01,2016,79.5,18.2,D,61.3
PA-02,2016,90.4,7.6,D,82.8
PA-03,2016,35.0,61.1,R,26.1
PA-04,2016,37.1,58.6,R,21.5
PA-05,2016,33.5,62.3,R,28.8
PA-06,2016,48.2,47.6,D,0.6
PA-07,2016,49.3,47.0,D,2.3
PA-08,2016,48.0,48.2,R,0.2
PA-09,2016,27.2,69.7,R,42.5
PA-10,2016,30.1,66.1,R,36.0
PA-11,2016,36.2,60.0,R,23.8
PA-12,2016,37.9,58.7,R,20.8
PA-13,2016,65.3,31.7,D,33.6
PA-14,2016,66.0,30.5,D,35.5
PA-15,2016,44.2,51.8,R,7.6
PA-16,2016,44.2,51.0,R,6.8
PA-17,2016,43.3,53.4,R,10.1
PA-18,2016,38.5,58.1,R,19.6
RI-01,2016,60.5,34.9,D,25.6
RI-02,2016,51.1,44.0,D,7.1
SC-01,2016,40.4,53.5,R,13.1
SC-02,2016,38.6,56.3,R,17.7
SC-03,2016,29.0,67.0,R,38.0
SC-04,2016,34.5,60.2,R,25.7
SC-05,2016,38.8,57.3,R,18.5
SC-06,2016,66.8,30.3,D,36.5
SC-07,2016,39.1,58.0,R,18.9
SD-00,2016,31.7,61.5,R,29.8
TN-01,2016,19.7,76.7,R,57.0
TN-02,2016,29.7,65.1,R,35.4
TN-03,2016,30.2,65.4,R,35.2
TN-04,2016,27.4,68.6,R,41.2
TN-05,2016,56.6,38.2,D,18.4
TN-06,2016,23.7,72.6,R,48.9
TN-07,2016,28.2,67.5,R,39.3
TN-08,2016,30.7,66.3,R,35.6
TN-09,2016,77.5,19.8,D,57.7
TX-01,2016,25.3,72.2,R,46.9
TX-02,2016,43.1,52.4,R,9.3
TX-03,2016,40.6,54.8,R,14.2
TX-04,2016,21.8,75.4,R,53.6
TX-05,2016,34.3,62.7,R,28.4
TX-06,2016,41.9,54.2,R,12.3
TX-07,2016,48.5,47.1,D,1.4
TX-08,2016,23.9,72.7,R,48.8
TX-09,2016,79.3,18.0,D,61.3
TX-10,2016,43.2,52.3,R,9.1
TX-11,2016,19.1,77.8,R,58.7
TX-12,2016,32.7,62.9,R,30.2
TX-13,2016,16.9,79.9,R,63.0
TX-14,2016,38.4,58.2,R,19.8
TX-15,2016,56.7,40.0,D,16.7
TX-16,2016,67.9,27.2,D,40.7
TX-17,2016,38.8,56.3,R,17.5
TX-18,2016,76.5,20.0,D,56.5
TX-19,2016,23.5,72.5,R,49.0
TX-20,2016,61.0,34.3,D,26.7
TX-21,2016,42.5,52.5,R,10.0
TX-22,2016,44.2,52.1,R,7.9
TX-23,2016,49.8,46.4,D,3.4
TX-24,2016,44.5,50.7,R,6.2
TX-25,2016,40.2,55.1,R,14.9
TX-26,2016,34.4,60.9,R,26.5
TX-27,2016,36.5,60.1,R,23.6
TX-28,2016,58.3,38.5,D,19.8
TX-29,2016,71.1,25.4,D,45.7
TX-30,2016,79.1,18.3,D,60.8
TX-31,2016,40.8,53.5,R,12.7
TX-32,2016,48.5,46.6,D,1.9
TX-33,2016,72.9,23.7,D,49.2
TX-34,2016,59.2,37.7,D,21.5
TX-35,2016,64.1,30.5,D,33.6
TX-36,2016,25.2,72.0,R,46.8
UT-01,2016,22.4,49.7,R,27.3
UT-02,2016,32.0,46.0,R,14.0
UT-03,2016,23.3,47.2,R,23.9
UT-04,2016,32.4,39.1,R,6.7
VA-01,2016,41.2,53.6,R,12.4
VA-02,2016,45.4,48.8,R,3.4
VA-03,2016,63.6,31.9,D,31.7
VA-04,2016,58.7,37.1,D,21.6
VA-05,2016,42.3,53.4,R,11.1
VA-06,2016,34.9,59.7,R,24.8
VA-07,2016,44.0,50.5,R,6.5
VA-08,2016,73.5,20.9,D,52.6
VA-09,2016,27.3,68.8,R,41.5
VA-10,2016,52.2,42.2,D,10.0
VA-11,2016,66.9,27.5,D,39.4
VT-00,2016,56.7,30.3,D,26.4
WA-01,2016,54.1,37.8,D,16.3
WA-02,2016,56.9,34.8,D,22.1
WA-03,2016,42.5,49.9,R,7.4
WA-04,2016,35.1,57.9,R,22.8
WA-05,2016,39.1,52.2,R,13.1
WA-06,2016,51.8,39.5,D,12.3
WA-07,2016,82.1,12.2,D,69.9
WA-08,2016,47.7,44.7,D,3.0
WA-09,2016,70.5,23.3,D,47.2
WA-10,2016,51.3,39.9,D,11.4
WI-01,2016,42.3,52.6,R,10.3
WI-02,2016,65.8,29.0,D,36.8
WI-03,2016,44.8,49.3,R,4.5
WI-04,2016,74.0,21.8,D,52.2
WI-05,2016,37.3,57.4,R,20.1
WI-06,2016,38.8,55.7,R,16.9
WI-07,2016,37.3,57.8,R,20.5
WI-08,2016,38.6,56.2,R,17.6
WV-01,2016,26.4,68.0,R,41.6
WV-02,2016,29.4,65.8,R,36.4
